Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Las Vegas,New Mexico,31589,1389,$34312,23%,39,$205000,1565,$131,47,67%,$615,73%,N/A,N/A,29%,6%,49%,67%,21%,0%,1%,12%,80%,2%,N/A,87,48,39,47,15,29%,25%,30,45,84,76%,78%,73%,15,6.69,1.98,20%,35%,12%,24,5,N/A,39,85,6,35.56588259060066,-105.2844987720911
Berlin,New Hampshire,31360,283,$45482,17%,44,$178204,1599,$112,60,67%,$723,57%,159,966,12%,4%,54%,42%,50%,0%,3%,91%,2%,2%,N/A,78,26,52,54,5,57%,56%,35,57,79,52%,60%,49%,45,14.17,9.28,46%,48%,50%,97,49,7,19,93,3,44.55386170133296,-71.37902216294147
Cleveland,Mississippi,31301,1241,$31546,24%,34,$215000,2048,$105,44,53%,$682,67%,N/A,N/A,36%,7%,44%,65%,33%,0%,68%,25%,1%,1%,N/A,92,52,40,71,33,56%,56%,52,69,104,61%,69%,51%,59,11.67,16.67,31%,27%,38%,1,0,6,61,61,5,33.779597457951745,-90.7763594143828
Hastings,Nebraska,31284,1413,$55308,24%,37,$195000,2321,$84,56,72%,$747,49%,181,2934,14%,2%,65%,24%,68%,1%,0%,83%,12%,6%,N/A,87,36,51,66,16,56%,54%,37,59,92,68%,79%,61%,28,11.45,2.5,25%,30%,18%,26,16,N/A,47,75,3,40.58731700202531,-98.42251710410555
Beeville,Texas,31191,1766,$43450,10%,29,$82000,1012,$81,44,58%,$887,56%,217,2697,20%,7%,61%,40%,55%,0%,2%,23%,74%,2%,N/A,96,65,30,74,43,60%,57%,61,72,112,58%,74%,46%,30,9.1,4.96,17%,14%,19%,0,0,8,26,74,5,28.402770185299797,-97.75062344319979
Kingsville,Texas,31184,1719,$48965,21%,28,$168000,1461,$115,44,53%,$917,57%,511,2964,31%,5%,59%,49%,45%,1%,3%,15%,76%,6%,N/A,97,69,28,75,46,61%,58%,62,73,115,59%,75%,46%,29,8.59,4.62,21%,17%,23%,0,0,8,25,76,5,27.498982939388164,-97.85858721980213
Wabash,Indiana,31120,670,$51585,19%,38,$155019,1739,$90,64,71%,$683,52%,N/A,N/A,13%,4%,59%,22%,72%,0%,1%,92%,3%,1%,N/A,84,33,50,63,17,61%,55%,40,60,86,60%,75%,47%,41,13.24,7.71,35%,32%,37%,24,13,8,36,72,3,40.85530874193195,-85.80846274765197
Breckenridge,Colorado,31042,1062,$104978,53%,41,$1159344,1485,$815,31,54%,$1875,54%,229,2755,5%,2%,78%,59%,31%,0%,0%,80%,11%,4%,N/A,75,29,45,39,1,43%,36%,29,47,74,69%,71%,70%,18,5.31,4.33,36%,36%,42%,150,67,8,41,95,5,39.57812905942262,-106.06462679628063
Albert Lea,Minnesota,30882,1155,$51651,16%,43,$180077,1622,$111,60,74%,$732,52%,215,2875,12%,5%,60%,37%,54%,3%,1%,79%,13%,6%,N/A,82,23,59,62,6,64%,60%,35,58,85,58%,71%,49%,36,14.34,3.41,31%,35%,24%,42,20,8,40,77,3,43.663514841456404,-93.36142791807687
Sheridan,Wyoming,30812,1389,$55971,30%,39,N/A,N/A,N/A,44,68%,$861,48%,50,2062,9%,2%,62%,20%,70%,1%,0%,90%,5%,2%,N/A,88,35,52,53,10,51%,37%,29,46,87,60%,71%,52%,18,4.0,2.36,27%,24%,27%,81,36,7,31,71,3,44.79782283183377,-106.9893266046056
Union City,Tennessee,30722,908,$40384,15%,38,$170000,1478,$115,48,53%,$659,53%,644,3694,22%,7%,57%,19%,77%,0%,17%,71%,6%,2%,N/A,88,45,43,68,26,58%,57%,50,68,94,64%,77%,54%,56,11.68,15.03,33%,28%,37%,6,1,6,53,70,4,36.41144846971623,-89.06256650424262
Miami,Oklahoma,30568,1063,$38317,14%,34,$132979,1476,$89,56,59%,$699,56%,504,2505,24%,4%,54%,24%,71%,0%,1%,61%,8%,3%,N/A,90,45,44,69,24,56%,55%,46,66,96,58%,69%,52%,48,13.65,6.01,26%,27%,20%,5,1,7,47,57,4,36.87725541792375,-94.8646543939525
Iron Mountain,Michigan,30496,601,$52473,23%,42,$140949,1443,$97,60,76%,$678,50%,112,252,11%,5%,57%,29%,64%,0%,1%,91%,1%,1%,N/A,80,23,56,55,6,63%,59%,35,57,82,55%,67%,48%,23,8.49,2.34,27%,35%,19%,58,30,N/A,28,82,3,45.85823525388843,-88.00827238149857
Jesup,Georgia,30118,567,$48388,18%,40,$282355,2798,$101,47,54%,$652,49%,N/A,N/A,21%,4%,54%,19%,78%,1%,27%,60%,10%,3%,N/A,92,62,29,69,37,54%,57%,55,70,103,59%,59%,55%,49,18.72,9.95,26%,36%,25%,0,0,6,60,57,5,31.59337568433964,-81.90306607979542
McPherson,Kansas,30059,1526,$59462,29%,38,$175939,1685,$105,45,70%,$797,46%,164,1587,11%,1%,64%,25%,67%,1%,1%,88%,5%,3%,N/A,93,43,50,67,19,55%,51%,43,62,102,64%,73%,59%,32,12.1,3.38,22%,27%,14%,13,3,8,53,72,5,38.36942307474449,-97.64851665161926
Kirksville,Missouri,29433,1121,$37910,31%,26,$127619,1465,$87,52,51%,$661,66%,N/A,N/A,26%,5%,48%,32%,61%,2%,4%,88%,2%,5%,N/A,86,33,52,65,15,60%,58%,42,63,91,57%,68%,48%,43,15.33,5.39,28%,30%,23%,24,14,N/A,51,70,3,40.22910031355746,-92.5699052024676
Ludington,Michigan,29103,817,$44823,22%,42,$246937,1332,$186,63,63%,$736,56%,335,1780,20%,3%,54%,35%,57%,0%,1%,88%,5%,1%,N/A,80,30,49,59,18,64%,59%,38,58,82,47%,63%,31%,39,10.39,8.21,41%,32%,52%,95,46,8,38,85,3,43.972085904179394,-86.352179327197
Bainbridge,Georgia,29020,716,$40069,17%,36,$267000,1580,$169,36,45%,$714,59%,675,3912,21%,8%,51%,40%,58%,0%,55%,37%,4%,1%,N/A,91,60,31,72,38,54%,59%,57,71,104,58%,62%,50%,55,17.75,15.16,28%,39%,31%,0,0,5,82,38,5,30.89774343370054,-84.56797388815592
Alpena,Michigan,28913,784,$42194,14%,55,$125000,1736,$72,52,77%,$630,50%,585,1605,14%,12%,52%,32%,61%,0%,1%,95%,0%,3%,N/A,78,27,51,59,13,61%,55%,34,55,79,48%,63%,35%,33,9.65,5.94,48%,39%,60%,63,32,7,32,84,3,45.06270924206278,-83.47426452375714
Washington Court House,Ohio,28897,718,$45259,5%,37,$187124,1476,$131,55,55%,$780,57%,62,1363,22%,6%,57%,24%,71%,0%,1%,91%,3%,2%,N/A,85,37,48,64,20,58%,55%,41,61,88,48%,58%,37%,44,12.29,9.58,39%,38%,44%,25,22,7,38,78,5,39.57340268992554,-83.45394698561577
Hays,Kansas,28893,1882,$54791,37%,33,$146659,1281,$111,48,68%,$783,50%,268,1713,15%,3%,71%,23%,70%,1%,0%,90%,4%,2%,N/A,93,45,48,67,20,50%,46%,39,59,99,68%,78%,64%,25,10.45,2.39,15%,21%,8%,14,4,N/A,48,75,4,38.88678753035238,-99.33877954298558
Fort Morgan,Colorado,28868,2045,$54883,17%,32,$335196,2337,$144,48,61%,$931,43%,378,2386,13%,5%,63%,26%,68%,0%,4%,52%,40%,13%,N/A,91,41,50,59,11,43%,36%,29,47,90,69%,71%,70%,15,6.49,1.0,18%,25%,11%,27,12,8,41,60,4,40.25872041248509,-103.76821859244338
Van Wert,Ohio,28808,28187,$53958,9%,39,$108281,1273,$64,64,82%,$740,50%,63,1544,9%,2%,65%,19%,76%,0%,0%,91%,6%,1%,N/A,84,33,51,63,18,61%,55%,40,60,87,60%,75%,47%,42,12.83,8.3,29%,28%,29%,20,9,7,36,73,3,40.845079256928756,-84.60697420311446
Kennett,Missouri,28592,642,$42366,13%,36,$170307,1579,$107,52,56%,$574,56%,434,3778,23%,8%,54%,22%,75%,0%,12%,74%,8%,3%,N/A,91,46,44,71,29,56%,56%,50,68,100,63%,75%,52%,54,11.15,13.17,30%,26%,32%,6,1,7,53,67,4,36.320766420317305,-90.06116122103019
Weatherford,Oklahoma,28564,1257,$53210,28%,30,$157196,1432,$108,42,61%,$734,54%,304,2050,18%,2%,68%,19%,74%,1%,3%,64%,20%,6%,N/A,95,49,45,71,28,55%,53%,46,64,106,66%,76%,60%,30,9.93,3.38,20%,22%,15%,7,3,N/A,49,70,5,35.546040875133926,-98.82399933907114
Mountain Home,Idaho,28396,2050,$45054,15%,31,$308073,1657,$186,40,62%,$883,48%,373,1581,16%,6%,61%,21%,68%,3%,2%,72%,15%,11%,N/A,99,42,57,59,24,42%,23%,33,42,96,63%,81%,38%,11,1.38,3.93,23%,8%,35%,19,16,7,14,81,4,43.12580038596726,-115.68280166879386
Mineral Wells,Texas,28303,723,$52493,13%,36,$190222,1222,$151,54,65%,$819,54%,147,3072,16%,8%,58%,16%,80%,1%,4%,63%,27%,8%,N/A,97,58,38,72,32,53%,49%,51,67,108,61%,71%,56%,32,7.81,5.03,18%,17%,16%,2,0,N/A,45,56,5,32.79866728821652,-98.11663246596079
Lincoln,Illinois,28238,1059,$55485,19%,39,$120145,1555,$81,58,73%,$693,49%,248,1529,11%,6%,61%,26%,66%,0%,3%,90%,2%,1%,N/A,85,35,50,64,18,61%,58%,40,62,89,54%,65%,46%,40,12.02,7.15,32%,30%,31%,25,13,N/A,47,74,3,40.15734149845339,-89.35232916446418
Silver City,New Mexico,28178,1081,$37197,24%,40,$202267,1448,$140,49,62%,$723,63%,525,828,24%,10%,48%,49%,41%,0%,1%,38%,57%,3%,N/A,90,53,37,54,22,26%,25%,35,50,87,83%,85%,80%,16,7.95,3.43,22%,35%,23%,0,0,7,35,86,6,32.77317429718207,-108.22670892579615
Elkins,West Virginia,28150,1600,$42469,24%,39,N/A,N/A,N/A,60,63%,$687,60%,N/A,N/A,18%,11%,57%,24%,69%,0%,2%,91%,1%,1%,N/A,82,40,41,59,19,58%,59%,40,59,84,46%,55%,36%,48,15.48,10.74,48%,48%,55%,61,32,4,43,81,4,38.88469160185046,-79.87180326702227
Macomb,Illinois,27743,1332,$37443,34%,29,$86161,1637,$52,51,61%,$667,66%,319,1370,23%,10%,58%,40%,51%,2%,6%,84%,3%,3%,N/A,85,33,52,65,16,60%,57%,39,62,89,53%,64%,46%,41,13.56,5.84,31%,33%,27%,22,10,N/A,47,77,3,40.47701396321699,-90.66975342630519
Camden,Arkansas,27669,765,$40129,8%,40,N/A,N/A,N/A,53,65%,$602,55%,116,814,20%,7%,48%,37%,59%,0%,36%,57%,5%,2%,N/A,92,54,38,70,31,57%,56%,50,68,102,65%,78%,54%,57,12.33,15.09,26%,23%,31%,1,0,7,55,55,5,33.578370290375744,-92.66402598709679
Crescent City,California,27655,2101,$44797,11%,39,$269751,945,$279,42,55%,$1107,64%,342,4630,22%,9%,38%,36%,53%,0%,4%,52%,25%,10%,N/A,65,55,10,51,42,47%,28%,40,48,63,N/A%,N/A%,N/A%,62,1.97,28.54,37%,15%,54%,0,0,4,7,85,3,41.75155492160494,-124.15703912213529
North Vernon,Indiana,27619,1928,$57434,13%,38,$203813,1763,$113,51,61%,$759,56%,270,2447,15%,4%,60%,21%,73%,0%,2%,89%,5%,1%,N/A,86,40,46,65,24,57%,55%,44,64,90,53%,64%,44%,49,13.65,10.97,36%,33%,40%,19,12,7,43,65,4,39.01543887549639,-85.65367491262016
Merrill,Wisconsin,27566,656,N/A,N/A%,N/A,$135142,1088,$120,N/A,N/A%,N/A,N/A%,141,1803,N/A%,N/A%,N/A%,36%,57%,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,79,21,58,57,4,63%,59%,35,57,81,55%,67%,48%,34,13.08,3.98,38%,43%,33%,56,38,8,31,82,3,45.30086494827463,-89.69818547911696
Thomaston,Georgia,27424,875,$35787,14%,37,$167668,1386,$121,55,52%,$681,62%,N/A,N/A,28%,4%,49%,31%,66%,0%,36%,58%,1%,2%,N/A,91,57,34,70,35,52%,54%,53,69,99,63%,67%,56%,51,13.24,15.62,35%,38%,38%,1,0,5,53,55,5,32.89824611407855,-84.32678829220964
Grants,New Mexico,27284,391,$47434,13%,37,$111000,1480,$75,43,69%,$713,61%,449,1628,28%,6%,45%,46%,39%,0%,0%,15%,41%,2%,N/A,89,48,41,51,16,29%,25%,30,45,87,76%,78%,73%,10,4.6,1.66,12%,21%,10%,15,3,N/A,39,84,5,35.116571884810014,-107.73975856244084
Bennettsville,South Carolina,26912,1191,$30451,9%,41,N/A,N/A,N/A,47,55%,$567,67%,805,3859,26%,6%,43%,57%,41%,0%,54%,34%,3%,1%,N/A,91,55,35,70,33,51%,54%,47,66,100,64%,67%,57%,49,15.53,10.76,38%,41%,42%,2,0,6,38,62,4,34.63867852981852,-79.66237412698929
Fredericksburg,Texas,26730,1024,$55149,34%,49,$557484,1817,$304,37,66%,$1056,41%,112,1133,11%,4%,57%,17%,79%,0%,0%,76%,21%,7%,N/A,94,60,34,70,33,55%,52%,55,68,104,57%,69%,51%,28,6.12,4.22,20%,15%,20%,0,0,8,36,76,6,30.267660267700137,-98.90172705420144
Toccoa,Georgia,26641,967,$48056,15%,42,$217000,1476,$147,46,62%,$752,57%,N/A,N/A,20%,8%,59%,18%,78%,1%,16%,76%,1%,2%,N/A,90,53,37,69,33,55%,59%,48,66,100,59%,59%,57%,58,13.35,16.93,35%,39%,38%,4,0,6,42,67,4,34.57919958324167,-83.32319255244256
The Dalles,Oregon,26603,2006,$56875,21%,39,$410380,1783,$230,53,65%,$888,50%,177,3117,9%,7%,61%,40%,48%,0%,0%,74%,19%,8%,N/A,88,42,45,58,28,59%,46%,44,52,89,50%,67%,30%,16,1.12,7.85,25%,7%,41%,244,60,7,7,68,2,45.5708521116602,-121.18593498809709
Greensburg,Indiana,26466,1245,$59349,17%,40,$190665,1902,$99,49,65%,$786,50%,500,3020,10%,4%,66%,19%,76%,2%,0%,91%,3%,2%,N/A,84,37,46,65,22,59%,56%,42,63,87,51%,64%,41%,48,14.01,10.36,33%,32%,34%,20,15,8,41,72,4,39.32713827799962,-85.49361171824847
Indianola,Mississippi,26295,1266,$32626,19%,33,$65524,1067,$61,44,51%,$646,72%,N/A,N/A,34%,13%,52%,70%,29%,0%,83%,15%,0%,0%,N/A,92,52,39,72,34,56%,56%,53,69,103,59%,66%,50%,57,11.85,16.36,29%,25%,35%,2,0,6,64,61,5,33.537553668030334,-90.59337250324182
Boone,Iowa,26277,1388,$62385,20%,41,$151628,1261,$120,65,77%,$807,49%,289,1132,7%,2%,65%,39%,52%,0%,0%,93%,3%,0%,N/A,85,29,55,63,10,60%,58%,39,61,89,58%,71%,49%,40,15.29,4.29,32%,36%,27%,36,20,N/A,48,76,3,42.011926755203156,-93.88639543330224
La Grande,Oregon,26255,2299,$48619,21%,37,$274038,1243,$218,46,61%,$869,52%,105,2414,16%,7%,57%,25%,65%,0%,0%,87%,5%,2%,N/A,87,37,50,54,22,48%,27%,35,42,84,60%,78%,35%,23,3.44,7.06,34%,17%,48%,24,11,7,8,80,3,45.324848109985695,-118.03210859811426
Ottawa,Kansas,25953,1081,$56409,23%,36,$201811,1575,$127,54,67%,$819,50%,228,1225,11%,2%,65%,26%,65%,0%,0%,88%,4%,1%,N/A,89,41,48,67,19,58%,58%,42,64,96,59%,68%,54%,39,13.71,4.11,29%,32%,21%,14,5,8,54,68,4,38.596267779234516,-95.25432336136706
New Ulm,Minnesota,25894,1073,$60946,26%,39,$194970,2094,$92,54,77%,$820,50%,58,871,8%,2%,66%,27%,63%,0%,1%,92%,3%,1%,N/A,82,23,59,61,5,63%,59%,34,58,84,56%,63%,56%,33,13.07,3.59,29%,32%,25%,52,16,N/A,39,70,3,44.290935293167706,-94.5239722348836
Lexington,Nebraska,25842,1778,$55428,15%,36,$186333,1771,$114,51,66%,$805,47%,149,1281,13%,3%,71%,24%,69%,1%,7%,52%,37%,24%,N/A,87,38,48,63,16,56%,54%,37,59,91,66%,77%,60%,25,10.9,1.8,23%,30%,14%,31,18,N/A,47,77,4,40.815569128466905,-99.86063824840535
Great Bend,Kansas,25708,1359,$48086,20%,36,$117137,1295,$90,62,64%,$691,52%,164,1189,16%,4%,65%,17%,76%,0%,1%,74%,20%,6%,N/A,92,43,49,66,18,50%,46%,39,59,96,68%,77%,64%,28,11.33,2.83,19%,26%,11%,14,3,N/A,48,77,5,38.379289731679734,-98.78260295831977
Spearfish,South Dakota,25687,809,$52431,36%,40,$411784,1621,$249,34,64%,$836,54%,173,1765,13%,2%,64%,28%,62%,0%,0%,90%,2%,1%,N/A,84,35,49,57,13,52%,44%,31,51,84,62%,70%,56%,28,8.52,4.08,28%,32%,25%,103,32,N/A,39,80,4,44.462867234661694,-103.80325181122055
Wauchula,Florida,25632,1042,$37935,6%,35,$275593,1803,$152,41,55%,$886,45%,408,3517,32%,2%,55%,28%,68%,0%,7%,42%,48%,8%,N/A,92,73,19,72,47,57%,61%,62,72,107,69%,67%,65%,51,25.03,5.99,27%,50%,18%,0,0,6,82,67,6,27.524232379860806,-81.81346330035352
Marshall,Minnesota,25477,1001,$55291,26%,34,$168390,1339,$126,46,63%,$696,52%,147,1120,14%,3%,67%,31%,59%,5%,4%,79%,9%,9%,N/A,85,24,60,61,5,60%,56%,35,58,88,56%,63%,56%,28,11.43,2.84,24%,29%,18%,47,18,N/A,44,79,3,44.44619621351436,-95.81437101371499
Deming,New Mexico,25282,706,$33544,10%,35,$186000,1488,$125,43,64%,$519,56%,963,5153,27%,8%,43%,43%,47%,1%,2%,23%,70%,18%,N/A,97,57,40,62,27,27%,26%,35,51,94,83%,85%,80%,10,5.07,1.67,13%,23%,11%,1,0,N/A,35,60,7,32.238917224213,-107.74464636353036
Mexico,Missouri,25223,1126,$41980,12%,38,$134242,1910,$82,55,65%,$626,57%,61,2650,17%,6%,57%,25%,68%,0%,6%,84%,2%,2%,N/A,86,36,50,66,19,60%,59%,43,64,90,57%,68%,48%,44,14.77,6.67,34%,35%,26%,18,7,N/A,52,73,4,39.19623615121251,-91.76748889182286
Fallon,Nevada,25077,2264,$49785,18%,31,$338000,1523,$222,34,45%,$1038,57%,N/A,N/A,11%,3%,68%,20%,71%,3%,4%,69%,15%,7%,N/A,95,44,51,57,19,31%,19%,29,38,91,81%,92%,65%,6,0.76,2.56,11%,4%,15%,19,12,6,15,58,5,39.46904621675626,-118.77292766375902
Altus,Oklahoma,24960,1008,$51422,23%,33,$207915,1654,$125,50,58%,$797,47%,212,2024,17%,4%,62%,18%,76%,1%,7%,58%,27%,5%,N/A,96,53,42,71,28,50%,46%,48,65,104,66%,76%,60%,28,8.35,2.82,17%,19%,12%,3,0,N/A,48,66,5,34.651941630161275,-99.32342283612188
Uvalde,Texas,24918,2194,$46690,16%,32,$173868,1356,$130,42,66%,$840,53%,317,3700,21%,3%,61%,43%,53%,1%,1%,16%,80%,11%,N/A,98,65,33,72,37,53%,51%,55,69,114,57%,69%,51%,21,5.24,2.83,13%,12%,14%,0,0,8,34,73,6,29.222749492078904,-99.76548219528053
Hailey,Idaho,24912,1590,$63310,36%,42,$653153,1228,$535,37,70%,$945,42%,273,435,10%,3%,70%,54%,36%,0%,0%,69%,26%,17%,N/A,86,32,53,52,13,42%,23%,31,41,84,62%,80%,39%,16,2.17,5.67,22%,12%,29%,25,16,7,16,93,4,43.4627853328454,-114.30279447150221
Steamboat Springs,Colorado,24899,1269,$79967,51%,40,$961895,1464,$669,31,69%,$1489,48%,141,1305,8%,2%,69%,54%,37%,1%,0%,82%,8%,6%,N/A,83,29,53,47,4,42%,34%,29,46,81,69%,72%,68%,23,4.53,6.17,36%,18%,53%,120,55,7,40,93,5,40.4559458382227,-106.8840315844932
Summerville,Georgia,24898,903,$30644,10%,36,$148806,1464,$94,54,49%,$593,58%,N/A,N/A,26%,3%,49%,19%,78%,0%,11%,71%,14%,7%,N/A,90,52,38,67,29,55%,56%,48,67,98,55%,60%,46%,58,12.97,17.64,32%,35%,38%,3,1,5,55,62,4,34.49664047897185,-85.35047642336598
Moberly,Missouri,24880,1015,$41845,16%,38,$133871,1055,$124,54,63%,$695,62%,552,1829,20%,4%,54%,21%,72%,0%,8%,83%,2%,1%,N/A,87,37,49,68,18,60%,59%,43,64,92,57%,68%,48%,44,14.6,6.07,28%,29%,23%,16,6,N/A,52,71,4,39.41540160681458,-92.44950008408169
Middlesborough,Kentucky,24674,1167,$28071,10%,40,$84723,1136,$72,51,53%,$513,59%,113,1531,31%,8%,38%,17%,79%,0%,4%,88%,2%,0%,N/A,84,43,41,63,23,57%,58%,48,66,87,57%,66%,44%,56,14.69,15.23,40%,41%,45%,8,5,6,46,71,4,36.63394587728695,-83.72040860117143
Woodward,Oklahoma,24404,969,$51121,20%,35,N/A,N/A,N/A,45,64%,$790,53%,267,1968,16%,5%,62%,11%,83%,0%,0%,79%,13%,5%,N/A,94,48,45,69,25,50%,46%,39,59,100,68%,77%,64%,25,9.49,3.07,20%,22%,17%,10,3,N/A,48,73,5,36.42770149047378,-99.39337676801448
Prineville,Oregon,24300,827,$44167,18%,41,$400000,1575,$254,41,54%,$965,44%,362,2128,13%,6%,58%,21%,69%,0%,0%,79%,12%,3%,N/A,87,43,44,50,23,45%,23%,44,51,84,50%,67%,30%,11,1.9,3.57,20%,11%,26%,93,26,6,4,85,3,44.29854,-120.86071030000001
Bastrop,Louisiana,24227,1068,$24349,6%,34,$99000,1356,$73,48,53%,$623,71%,1004,8142,43%,12%,49%,43%,54%,0%,75%,22%,0%,0%,N/A,93,56,36,70,33,57%,57%,54,70,106,59%,66%,50%,61,13.77,16.71,28%,27%,33%,0,0,6,66,51,5,32.776708222567926,-91.89245757320899
Hood River,Oregon,23915,2361,$71577,37%,34,$647137,1598,$405,38,66%,$1209,51%,165,2907,9%,3%,70%,59%,30%,1%,1%,58%,33%,13%,N/A,83,41,42,55,30,59%,46%,44,52,83,50%,67%,30%,39,1.71,18.27,40%,13%,59%,216,53,7,7,72,3,45.68208112562176,-121.57458223887814
Forrest City,Arkansas,23623,584,$32479,10%,35,$191772,1942,$93,40,46%,$699,65%,898,4562,31%,7%,42%,54%,43%,0%,65%,26%,5%,4%,N/A,91,49,41,72,31,56%,56%,50,68,102,63%,74%,52%,54,10.89,14.2,29%,25%,32%,2,0,8,53,59,4,35.0080364187228,-90.78732611524757
Connersville,Indiana,23393,1290,$40319,13%,42,$101158,1359,$73,66,61%,$699,55%,130,1488,22%,6%,57%,23%,71%,0%,1%,91%,2%,1%,N/A,84,35,48,63,20,59%,56%,41,61,87,52%,65%,41%,46,13.05,10.01,32%,33%,30%,24,15,8,39,68,3,39.65625953994363,-85.15154355203435
Mitchell,South Dakota,23373,1103,$69109,20%,35,$167199,1210,$140,65,84%,$707,42%,375,3419,4%,1%,74%,28%,66%,0%,0%,96%,2%,1%,N/A,86,28,58,63,9,60%,55%,34,58,89,62%,72%,57%,22,9.15,1.74,23%,30%,16%,41,21,N/A,38,85,3,43.67537942181411,-98.00062960062263
Marshall,Missouri,23278,1277,$44467,24%,35,$158200,1686,$94,50,68%,$652,59%,413,1860,16%,2%,58%,30%,64%,0%,6%,73%,14%,6%,N/A,87,38,49,67,18,60%,59%,42,64,93,57%,68%,48%,41,13.53,5.47,28%,29%,22%,15,5,8,52,62,4,39.118063596185074,-93.1992962760091
Brookings,Oregon,23234,1249,$57194,22%,58,$438171,1598,$273,36,67%,$886,42%,N/A,N/A,11%,10%,46%,34%,57%,0%,0%,84%,7%,6%,N/A,67,53,13,52,41,47%,28%,40,48,65,N/A%,N/A%,N/A%,73,2.77,33.18,38%,14%,55%,4,2,4,7,82,3,42.207895779197216,-124.33865625055964
Yankton,South Dakota,23213,1643,$59245,29%,40,$230000,1667,$138,45,74%,$662,52%,583,2545,10%,1%,64%,34%,58%,0%,1%,85%,6%,2%,N/A,87,30,57,64,10,60%,56%,35,58,92,56%,63%,55%,29,10.93,3.28,25%,30%,18%,39,15,N/A,44,83,3,42.90769478233908,-97.3793965002933
Wahpeton,North Dakota,23041,507,$53594,20%,38,N/A,N/A,N/A,68,86%,$598,46%,N/A,N/A,7%,2%,59%,27%,62%,0%,0%,86%,7%,0%,N/A,83,20,62,60,1,62%,55%,31,56,85,56%,70%,48%,24,10.31,2.37,22%,29%,17%,45,27,N/A,31,90,2,46.2504992115023,-96.91353166293707
Magnolia,Arkansas,22947,787,$34900,20%,30,$9000,692,$13,49,59%,$649,61%,122,2578,26%,5%,51%,35%,61%,0%,44%,49%,3%,2%,N/A,93,55,38,70,30,58%,56%,54,70,103,58%,69%,50%,56,11.97,14.49,25%,22%,29%,1,0,7,55,49,5,33.27603618372879,-93.24193767553926
Elk City,Oklahoma,22349,785,$43058,14%,35,$174501,1916,$95,43,63%,$746,54%,124,1728,24%,7%,50%,12%,83%,0%,6%,70%,16%,4%,N/A,94,51,43,69,27,52%,50%,46,63,104,66%,76%,60%,26,8.47,2.85,16%,20%,11%,5,2,N/A,49,69,5,35.351255266318915,-99.51124244495485
Worthington,Minnesota,22223,443,$57061,13%,41,$88000,967,$91,62,84%,$726,39%,0,409,10%,2%,71%,31%,61%,0%,0%,78%,19%,8%,N/A,83,23,60,60,5,60%,56%,35,58,85,56%,63%,56%,31,12.2,2.82,28%,31%,23%,47,22,N/A,44,90,3,43.644768645538115,-95.76252333624663
Liberal,Kansas,22223,1631,$50766,9%,30,$153000,1577,$97,50,68%,$800,50%,N/A,N/A,13%,3%,71%,32%,62%,2%,3%,26%,64%,29%,N/A,94,47,46,66,20,50%,46%,39,59,100,69%,78%,65%,20,8.97,1.85,13%,20%,7%,12,3,N/A,48,72,5,37.05326541674781,-100.920009574099
Oskaloosa,Iowa,22132,1314,$54143,20%,35,$124062,1787,$70,57,65%,$714,50%,473,1787,17%,4%,65%,25%,69%,1%,2%,90%,2%,2%,N/A,86,31,55,65,12,60%,58%,39,61,91,58%,71%,49%,42,15.54,6.55,32%,36%,26%,22,11,N/A,48,76,3,41.29379958088612,-92.6275701610277
Pampa,Texas,22122,1795,$48157,14%,34,$165000,2063,$80,60,72%,$787,44%,740,3813,17%,5%,63%,9%,87%,1%,3%,61%,31%,10%,N/A,93,50,43,67,24,44%,44%,38,57,96,72%,78%,67%,22,8.44,2.32,18%,24%,13%,14,4,N/A,48,73,5,35.52622324673571,-100.9389433568756
Clarksdale,Mississippi,21839,871,$30473,17%,34,$106000,2304,$46,50,48%,$614,69%,N/A,N/A,41%,11%,50%,71%,27%,0%,82%,15%,0%,0%,N/A,90,50,40,71,32,56%,56%,50,68,99,63%,74%,52%,59,12.31,15.63,20%,16%,22%,1,0,8,53,58,4,34.21592136777808,-90.56745029875795
