	Month of Period End
Roma Creek, TX	
Roma, TX	
Roman Forest, TX	$400K
Romancoke, MD	$395K
Rome City, IN	
Rome, GA	$204K
Rome, IL	$150K
Rome, NY	$130K
Rome, PA	
Rome, WI	$250K
Romeo, MI	$285K
Romeoville, IL	$246K
Romney, IN	
Romney, WV	$150K
Romoland, CA	$420K
Romulus, MI	$185K
Romulus, NY	
Ronald, WA	$463K
Ronco, PA	
Ronda, NC	
Ronkonkoma, NY	$570K
Ronks, PA	$120K
Ronneby, MN	
Roopville, GA	
Roosevelt Estates, AZ	
Roosevelt Gardens, FL	$350K
Roosevelt Park, MI	$235K
Roosevelt, NJ	
Roosevelt, NY	$590K
Root, NY	$212K
Roots, PA	
Ropesville, TX	
Rosa, AL	
Rosalia, KS	
Rosalia, WA	
Rosamond, CA	$383K
Rosanky, TX	$367K
Rosaryville, MD	$555K
Roscoe, IL	$315K
Roscoe, MN	$206K
Roscoe, MT	
Roscoe, PA	
Roscoe, SD	
Roscoe, TX	
Rose Bud, AR	
Rose City, TX	$309K
Rose Creek, MN	$180K
Rose Hill Acres, TX	
Rose Hill, IA	
Rose Hill, KS	$229K
Rose Hill, VA	$620K
Rose Hills, CA	$685K
Rose Lodge, OR	$355K
Rose Valley, PA	$825K
Rose, NY	$107K
Roseboom, NY	
Rosebud, TX	
Roseburg North, OR	$540K
Roseburg, OR	$350K
Rosebush, MI	$187K
Rosedale, CA	$682K
Rosedale, IN	
Rosedale, LA	
Rosedale, MD	$276K
Rosedale, NM	
Rosedale, OK	
Rosedale, WA	$850K
Roseland, CA	$560K
Roseland, FL	$730K
Roseland, IN	$350K
Roseland, LA	$186K
Roseland, NE	
Roseland, NJ	$675K
Roseland, OH	$130K
Roselawn, IN	$246K
Roselle Park, NJ	$493K
Roselle, IL	$309K
Roselle, NJ	$440K
Rosemead, CA	$810K
Rosemont, CA	$423K
Rosemont, IL	
Rosemont, MD	
Rosemont, PA	$510K
Rosemount, MN	$414K
Rosemount, OH	
Rosenberg, TX	$285K
Rosendale Hamlet, NY	$350K
Rosendale, MO	
Rosendale, NY	$274K
Rosendale, WI	
Rosenhayn, NJ	$169K
Rosepine, LA	
Roseto, PA	$217K
Roseville, CA	$602K
Roseville, MI	$159K
Roseville, MN	$350K
Roseville, OH	$144K
Rosewood Heights, IL	$160K
Rosewood, OH	
Rosharon, TX	$320K
Rosholt, WI	$83K
Rosita, TX	
Roslyn Estates, NY	
Roslyn Harbor, NY	
Roslyn Heights, NY	$764K
Roslyn, NY	$770K
Roslyn, PA	$384K
Roslyn, WA	
Rosman, NC	$315K
Ross Corner, NJ	
Ross, CA	
Ross, OH	
Rossburg, OH	
Rosser, TX	
Rossford, OH	$203K
Rossie, IA	
Rossie, NY	
Rossiter, PA	
Rosslyn Farms, PA	
Rossmoor, CA	$1,338K
Rossmoor, MD	$255K
Rossmoor, NJ	$251K
Rossmoyne, OH	$259K
Rossville, IL	$87K
Rossville, IN	
Rossville, KS	
Rossville, MD	$330K
Rossville, TN	$615K
Roswell, GA	$559K
Roswell, NM	$186K
Roswell, OH	
Rote, PA	
Rothsay, MN	
Rothschild, WI	$288K
Rothsville, PA	$425K
Rotonda, FL	$469K
Rotterdam, NY	$213K
Rougemont, NC	$505K
Rough & Ready, CA	
Round Hill Village, NV	$1,350K
Round Hill, VA	$790K
Round Lake Beach, IL	$195K
Round Lake Heights, IL	$149K
Round Lake Park, IL	$160K
Round Lake, IL	$359K
Round Lake, MN	
Round Lake, NY	$574K
Round Mountain, CA	
Round Rock, TX	$450K
Round Valley, AZ	
Rouse, CA	$300K
Rouses Point, NY	$118K
Rouseville, PA	
Route 7 Gateway, CT	$560K
Rouzerville, PA	
Rover, AR	
Rowe, MA	
Rowe, NM	
Rowena, OR	
Rowena, SD	
Rowes Run, PA	
Rowesville, SC	
Rowland Heights, CA	$853K
Rowland, NC	
Rowlett, TX	$420K
Rowley, MA	
Roxana, IL	$65K
Roxboro, NC	$175K
Roxborough Park, CO	$635K
Roxbury, KS	
Roxton, TX	
Roy, UT	$395K
Roy, WA	$475K
Royal Center, IN	
Royal City, WA	$410K
Royal Hawaiian Estates, HI	
Royal Kunia, HI	$845K
Royal Lakes, IL	
Royal Oak, MI	$340K
Royal Palm Beach, FL	$381K
Royal Palm Estates, FL	
Royal Pines, NC	$463K
Royal, IA	
Royal, IL	
Royalston, MA	$510K
Royalton, NY	$125K
Royalton, PA	
Royer, PA	
Royersford, PA	$325K
Royse City, TX	$359K
Rubicon, WI	
Rubidoux, CA	$510K
Ruby, MI	
Ruby, NY	
Ruch, OR	
Ruckersville, VA	$366K
Rudolph, OH	
Rudolph, WI	
Rudy, AR	
Ruffin, NC	$110K
Ruhenstroth, NV	$688K
Ruidoso Downs, NM	$275K
Ruidoso, NM	$369K
Ruleville, MS	$83K
Rumsey, CA	
Rumson, NJ	$1,822K
Runaway Bay, TX	$201K
Runnells, IA	
Runnemede, NJ	$248K
Running Springs, CA	$350K
Running Y Ranch, OR	$578K
Runville, PA	
Rupert, ID	$330K
Rupert, PA	
Rural Hall, NC	$323K
Rural Hill, TN	$619K
Rural Valley, PA	
Rush City, MN	$265K
Rush Hill, MO	
Rush Springs, OK	
Rush Valley, UT	
Rush, NY	$270K
Rushford Village, MN	
Rushford, MN	$150K
Rushmere, VA	$450K
Rushmore, MN	$88K
Rushsylvania, OH	$132K
Rushville, MO	
Rushville, NY	
Rushville, OH	$355K
Rusk, TX	$179K
Ruskin, FL	$346K
Russell Gardens, NY	
Russell, AR	
Russell, GA	$280K
Russell, KY	$202K
Russell, MA	$270K
Russell, MN	$88K
Russell, NY	
Russell, PA	
Russells Point, OH	$300K
Russellton, PA	$255K
Russellville, AR	$159K
Russellville, IN	
Russellville, MO	$180K
Russellville, OH	
Russellville, SC	$144K
Russellville, TN	
Russia, NY	
Russia, OH	
Russiaville, IN	$218K
Rustburg, VA	
Ruston, LA	$301K
Ruston, WA	$1,370K
Ruth, NC	
Rutherford College, NC	$249K
Rutherford, CA	
Rutherford, NJ	$535K
Rutherford, PA	$240K
Rutherford, TN	$237K
Rutherfordton, NC	$293K
Rutland, IL	
Rutland, MA	$402K
Rutland, NY	$153K
Rutland, VT	$215K
Rutledge, GA	$420K
Rutledge, PA	$471K
Rutledge, TN	$675K
Ryderwood, WA	$133K
Rye Brook, NY	$868K
Rye, AZ	
Rye, CO	
Rye, NY	$1,533K
Ryland Heights, KY	
Sabattus, ME	$281K
Sabillasville, MD	
Sabina, OH	$145K
Sabinal, TX	
Sachse, TX	$410K
Sackets Harbor, NY	$291K
Saco, ME	$512K
Sacramento, CA	$464K
Sacramento, KY	
Saddle Brook Township, NJ	$448K
Saddle Ridge, CO	
Saddle River, NJ	$1,738K
Saddle Rock Estates, NY	$2,000K
Saddle Rock, NY	
Saddlebrooke, AZ	$510K
Saddlebrooke, MO	$655K
Sadieville, KY	
Sadler, TX	$535K
Sadorus, IL	
Sadsburyville, PA	$309K
Saegertown, PA	
Safety Harbor, FL	$371K
Safford, AZ	$258K
Sag Harbor, NY	
Sagamore, MA	$662K
Sagaponack, NY	$7,800K
Sagar, NM	$255K
Sageville, IA	
Saginaw, MI	$101K
Saginaw, MO	
Saginaw, TX	$330K
Sahuarita, AZ	$372K
Sail Harbor, CT	
Saks, AL	$148K
Salado, AR	
Salado, TX	$460K
Salamanca, NY	$65K
Salcha, AK	$201K
Salem Heights, OH	$245K
Salem Lakes, WI	$305K
Salem, AR	$288K
Salem, GA	$240K
Salem, IL	$142K
Salem, IN	$156K
Salem, KY	$150K
Salem, MA	$560K
Salem, NC	$594K
Salem, NH	$575K
Salem, NJ	$125K
Salem, NY	$159K
Salem, OH	$145K
Salem, OR	$418K
Salem, SC	
Salem, SD	
Salem, UT	$526K
Salem, VA	$233K
Salesville, AR	
Salesville, OH	$68K
Salida del Sol Estates, TX	$170K
Salida, CA	$445K
Salina, KS	$165K
Salina, NY	$175K
Salinas, CA	$667K
Saline, MI	$364K
Salineño, TX	
Salineville, OH	
Salisbury Center, NY	
Salisbury Mills, NY	
Salisbury, MA	$530K
Salisbury, NC	$255K
Salisbury, NY	$790K
Salisbury, PA	
Salix, IA	
Salix, PA	$87K
Salladasburg, PA	
Salley, SC	
Sallisaw, OK	$130K
Salmon Brook, CT	$395K
Salmon Creek, CA	
Salmon Creek, WA	$481K
Salona, PA	
Salt Creek Commons, IN	
Salt Creek, CO	$121K
Salt Lake City, UT	$500K
Salt Lick, KY	$239K
Salt Point, NY	$350K
Saltaire, NY	
Saltillo, IN	
Saltillo, MS	
Salton City, CA	$255K
Salton Sea Beach, CA	
Saltsburg, PA	
Salunga, PA	$531K
Salvo, NC	$602K
Samak, UT	
Samburg, TN	
Sammamish, WA	$1,475K
Sammons Point, IL	
Samoa, CA	$415K
Samoset, FL	$295K
Samson, AL	$80K
Samsula-Spruce Creek, FL	$618K
San Angelo, TX	$200K
San Anselmo, CA	$2,275K
San Antonio Heights, CA	$1,165K
San Antonio, FL	$345K
San Antonio, TX	$275K
San Ardo, CA	
San Benito, TX	$155K
San Bernardino, CA	$455K
San Bruno, CA	$1,063K
San Carlos II, TX	
San Carlos Park, FL	$390K
San Carlos, CA	$2,150K
San Carlos, TX	
San Castle, FL	$300K
San Clemente, CA	$1,855K
San Cristobal, NM	
San Diego Country Estates, CA	$717K
San Diego, CA	$882K
San Diego, TX	$87K
San Dimas, CA	$750K
San Elizario, TX	$139K
San Felipe, TX	
San Fernando, CA	$730K
San Fernando, TX	
San Francisco, CA	$1,338K
San Gabriel, CA	$1,061K
San Geronimo, CA	
San Ildefonso Pueblo, NM	$540K
San Isidro, TX	
San Jacinto, CA	$459K
San Joaquin Hills, CA	$3,850K
San Joaquin, CA	
San Jose, AZ	
San Jose, CA	$1,323K
San Jose, NM	
San Juan Bautista, CA	$995K
San Juan Capistrano, CA	$1,050K
San Juan, TX	$223K
San Leandro, CA	$750K
San Leanna, TX	
San Leon, TX	$328K
San Lorenzo, CA	$840K
San Lorenzo, NM	
San Lucas, CA	
San Luis Obispo, CA	$915K
San Luis, AZ	$245K
San Manuel, AZ	$172K
San Mar, MD	$400K
San Marcos, CA	$887K
San Marcos, TX	$336K
San Marine, OR	
San Marino, CA	$2,490K
San Martin, CA	
San Mateo, CA	$1,530K
San Mateo, NM	
San Miguel, CA	$965K
San Miguel, NM	
San Pablo, CA	$583K
San Pablo, NM	
San Pasqual, CA	
San Pedro, NM	
San Perlita, TX	
San Rafael, CA	$1,481K
San Rafael, NM	
San Ramon, CA	$1,528K
San Simeon, CA	
San Simon, AZ	
San Tan Valley, AZ	$390K
San Ygnacio, TX	
San Ysidro, NM	$332K
Sanatoga, PA	$325K
Sanborn, NY	$305K
Sanctuary, TX	
Sand City, CA	$1,002K
Sand Coulee, MT	$448K
Sand Hill, OK	
Sand Hill, PA	$241K
Sand Lake, MI	$212K
Sand Lake, NY	$360K
Sand Point, OK	$600K
Sand Ridge, NY	$150K
Sand Springs, OK	$227K
Sandborn, IN	
Sandia, TX	$378K
Sandisfield, MA	
Sandoval, IL	
Sandpoint, ID	$651K
Sands Point, NY	$6,500K
Sandston, VA	$232K
Sandusky, IA	
Sandusky, OH	$152K
Sandwich, IL	$255K
Sandwich, MA	$516K
Sandy Creek, NC	
Sandy Creek, NY	
Sandy Hook, CT	$636K
Sandy Hook, MD	
Sandy Hook, WI	
Sandy Lake, PA	$146K
Sandy Level, VA	
Sandy Oaks, TX	$294K
Sandy Point, TX	
Sandy Ridge, PA	$60K
Sandy Springs, GA	$650K
Sandy Springs, SC	
Sandy Valley, NV	
Sandy, OR	$498K
Sandy, PA	
Sandy, UT	$638K
Sandyville, IA	
Sandyville, OH	$177K
Sanford, FL	$327K
Sanford, ME	$300K
Sanford, MI	$108K
Sanford, NC	$320K
Sanford, NY	$256K
Sanford, TX	
Sangaree, SC	$289K
Sanger, CA	$329K
Sanger, TX	$332K
Sangerfield, NY	$150K
Sanibel, FL	$912K
Sankertown, PA	
Sans Souci, SC	$257K
Sansom Park, TX	$200K
Santa Ana, CA	$675K
Santa Barbara, CA	$1,785K
Santa Clara Pueblo, NM	
Santa Clara, CA	$1,490K
Santa Clara, NM	
Santa Clara, NY	
Santa Clara, OR	$442K
Santa Clara, TX	
Santa Clara, UT	$577K
Santa Clarita, CA	$730K
Santa Claus, GA	
Santa Cruz, CA	$1,608K
Santa Cruz, NM	
Santa Fe Foothills, NM	$810K
Santa Fe Springs, CA	$760K
Santa Fe, NM	$595K
Santa Fe, TX	$282K
Santa Margarita, CA	
Santa Maria, CA	$600K
Santa Maria, TX	
Santa Monica, CA	$1,758K
Santa Monica, TX	
Santa Nella, CA	$478K
Santa Paula, CA	$645K
Santa Rita Ranch, TX	$562K
Santa Rosa Valley, CA	$2,258K
Santa Rosa, CA	$735K
Santa Rosa, TX	
Santa Susana, CA	
Santa Teresa, NM	$214K
Santa Venetia, CA	$1,312K
Santa Ynez, CA	$1,180K
Santa Ysabel, CA	
Santaquin, UT	$470K
Santee, CA	$714K
Santee, SC	$329K
Santel, TX	
Santiago, WA	
Santo, TX	$285K
Sappington, MO	$168K
Sapulpa, OK	$201K
Saraland, AL	$212K
Saranac Lake, NY	$288K
Saranac, MI	
Saranac, NY	$129K
Saranap, CA	$1,334K
Sarasota Springs, FL	$410K
Sarasota, FL	$495K
Saratoga Springs, NY	$650K
Saratoga Springs, UT	$555K
Saratoga, AR	
Saratoga, CA	$3,710K
Saratoga, NC	
Saratoga, NY	$340K
Sarcoxie, MO	$50K
Sardinia, NY	$62K
Sardinia, OH	$205K
Sardis City, AL	$207K
Sardis, AR	
Sardis, GA	$113K
Sardis, KY	
Sarepta, LA	$55K
Sargeant, MN	
Sargent, TX	$330K
Sarita, TX	
Sartell, MN	$280K
Satartia, MS	
Satellite Beach, FL	$505K
Saticoy, CA	
Satsop, WA	$277K
Satsuma, AL	$225K
Saucier, MS	$273K
Saugatuck, CT	
Saugatuck, MI	$1,083K
Saugerties South, NY	$367K
Saugerties, NY	$703K
Sauget, IL	
Saugus, MA	$644K
Sauk Centre, MN	
Sauk City, WI	$280K
Sauk Rapids, MN	$303K
Sauk Village, IL	$142K
Saukville, WI	$250K
Saunders Lake, OR	
Saunemin, IL	
Sausalito, CA	$1,488K
Savage, MD	$490K
Savage, MN	$462K
Savanna, OK	
Savannah, GA	$317K
Savannah, MO	$195K
Savannah, NY	
Savannah, OH	
Savannah, TX	$395K
Saverton, MO	
Savona, NY	$49K
Savoy, IL	$311K
Savoy, MA	
Savoy, TX	$162K
Saw Creek, PA	$237K
Sawgrass, FL	$523K
Sawmills, NC	$67K
Sawyerville, IL	
Sawyerwood, OH	$237K
Saxapahaw, NC	
Saxon, SC	$170K
Saxonburg, PA	
Saybrook Manor, CT	$499K
Saybrook-on-the-Lake, OH	$219K
Saybrook, IL	$108K
Saylorsburg, PA	$385K
Saylorville, IA	$419K
Sayre, OK	$183K
Sayre, PA	$175K
Sayreville, NJ	$460K
Sayville, NY	$639K
Scaggsville, MD	$575K
Scalp Level, PA	
Scandia, MN	$690K
Scappoose, OR	$470K
Scarborough, ME	$539K
Scarsdale, NY	$570K
Scenic Oaks, TX	$713K
Scenic, AZ	
Schaefferstown, PA	
Schaghticoke, NY	
Schall Circle, FL	$550K
Schaumburg, IL	$295K
Schenectady, NY	$198K
Schenevus, NY	
Schererville, IN	$300K
Schertz, TX	$328K
Schiller Park, IL	$285K
Schlater, MS	$40K
Schlusser, PA	$277K
Schnecksville, PA	$355K
Schneider, IN	
Schodack, NY	$268K
Schoenchen, KS	
Schoeneck, PA	
Schofield Barracks, HI	
Schofield, WI	$175K
Schoharie, NY	
Schoolcraft, MI	$408K
Schriever, LA	$185K
Schroeppel, NY	$255K
Schubert, PA	
Schulter, OK	
Schuyler Falls, NY	$287K
Schuyler Lake, NY	
Schuyler, NY	$375K
Schuyler, VA	$278K
Schuylerville, NY	$330K
Schuylkill Haven, PA	$128K
Schwana, WA	
Schwenksville, PA	$258K
Science Hill, KY	$137K
Scio, OR	$490K
Sciota, IL	
Sciotodale, OH	
Scipio, IN	$38K
Scipio, NY	
Scipio, OK	
Scissors, TX	
Scituate, MA	$800K
Scituate, RI	$418K
Scofield, UT	
Scotch Meadows, NC	
Scotchtown, NY	$259K
Scotia, CA	$360K
Scotia, NY	$163K
Scotland Neck, NC	$100K
Scotland, PA	
Scotland, TX	
Scotsdale, MO	
Scott City, MO	$119K
Scott, AR	
Scott, LA	$245K
Scott, NY	
Scott, OH	$90K
Scottdale, GA	$330K
Scottdale, PA	$165K
Scotts Corners, NY	$1,750K
Scotts Mills, OR	$629K
Scotts Valley, CA	$1,215K
Scotts, MI	
Scottsbluff, NE	$192K
Scottsboro, AL	$228K
Scottsburg, IN	$192K
Scottsburg, NY	
Scottsdale, AZ	$780K
Scottsmoor, FL	$285K
Scottsville, KY	$175K
Scottsville, NY	$181K
Scottsville, TX	
Scottsville, VA	
Scottville, IL	
Scottville, MI	$100K
Scranton, KS	
Scranton, PA	$153K
Scranton, SC	
Scraper, OK	
Screven, GA	$115K
Scriba, NY	
Scribner, NE	$149K
Scurry, TX	$169K
Sea Breeze, NC	$447K
Sea Bright, NJ	$1,500K
Sea Cliff, NY	$835K
Sea Girt, NJ	$3,240K
Sea Isle City, NJ	$1,585K
Sea Ranch Lakes, FL	
Sea Ranch, CA	$1,372K
Seabeck, WA	$540K
Seaboard, NC	
Seabrook Beach, NH	
Seabrook Farms, NJ	$260K
Seabrook Island, SC	$800K
Seabrook, MA	
Seabrook, MD	$340K
Seabrook, SC	$389K
Seabrook, TX	$332K
Seacliff, CA	$1,287K
Seadrift, TX	$93K
Seaford, NY	$634K
Seagoville, TX	$270K
Seagrove, NC	
Seal Beach, CA	$340K
Sealy, TX	$344K
Searchlight, NV	
Searcy, AR	$179K
Searingtown, NY	$880K
Searles Valley, CA	$31K
Searles, MN	
Seaside Heights, NJ	$688K
Seaside Park, NJ	$623K
Seaside, CA	$823K
Seaside, OR	$375K
Seat Pleasant, MD	$333K
SeaTac, WA	$514K
Seaton, IL	
Seatonville, IL	
Seattle, WA	$800K
Seaview, HI	
Seaville, NJ	$420K
Sebastian, FL	$354K
Sebastian, TX	
Sebastopol, CA	$950K
Sebring, FL	$269K
Sebring, OH	$105K
Secaucus, NJ	$535K
Seco Mines, TX	
Seconsett Island, MA	
Secor, IL	
Secretary, MD	$235K
Section, AL	$120K
Security-Widefield, CO	
Sedalia, CO	$864K
Sedalia, KY	
Sedalia, MO	$144K
Sedalia, NC	$256K
Sedan, MT	
Sedco Hills, CA	$346K
Sedgewickville, MO	
Sedgwick, KS	$154K
Sedley, VA	
Sedona, AZ	$1,129K
Sedro Woolley, WA	$470K
Seekonk, MA	$495K
Seeley Lake, MT	$859K
Seeley, CA	
Seeley, NJ	$240K
Seelyville, IN	$150K
Seffner, FL	$326K
Seguin, TX	$320K
Seis Lagos, TX	$790K
Sekiu, WA	
Selah, WA	$435K
Selby-on-the-Bay, MD	$812K
Selden, NY	$455K
Seligman, AZ	$163K
Selinsgrove, PA	$97K
Sellersburg, IN	$193K
Sellersville, PA	$351K
Selma, AL	$98K
Selma, CA	$355K
Selma, IN	
Selma, NC	$235K
Selma, OR	
Selma, TX	$357K
Selmont-West Selmont, AL	
Seltzer, PA	$320K
Seminole Manor, FL	$368K
Seminole, FL	$340K
Semmes, AL	$267K
Sempronius, NY	
Senath, MO	$93K
Senatobia, MS	$258K
Seneca Falls, NY	$120K
Seneca Gardens, KY	
Seneca Knolls, NY	$150K
Seneca, IL	
Seneca, MO	$168K
Seneca, NY	
Seneca, PA	$89K
Seneca, SC	$204K
Senecaville, OH	
Sennett, NY	$109K
Senoia, GA	$487K
Sequim, WA	$471K
Sequoia Crest, CA	
Sequoyah, OK	
Serena, IL	$156K
Serenada, TX	$510K
Sereno del Mar, CA	
Sergeant Bluff, IA	$326K
Setauket-East Setauket, NY	$683K
Setauket, NY	$520K
Seth Ward, TX	
Seton Village, NM	
Seven Corners, VA	$199K
Seven Devils, NC	$365K
Seven Fields, PA	$313K
Seven Hills, CO	
Seven Hills, OH	$265K
Seven Lakes, NC	$468K
Seven Mile, OH	$145K
Seven Points, TX	
Seven Springs, NC	
Seven Springs, PA	
Seven Trees, CA	$755K
Seven Valleys, PA	$365K
Seventh Mountain, OR	$310K
Severance, CO	$533K
Severn, MD	$470K
Severn, NC	
Severna Park, MD	$580K
Sevierville, TN	$405K
Seville, CA	
Seville, FL	
Seville, OH	$306K
Sewall's Point, FL	$820K
Sewanee, TN	$741K
Seward, NE	$220K
Seward, NY	$176K
Seward, OK	
Seward, PA	
Sewaren, NJ	
Sewell, NJ	$336K
Sewickley Heights, PA	$1,390K
Sewickley Hills, PA	
Sewickley, PA	$383K
Seymour, IL	$189K
Seymour, IN	$195K
Seymour, MO	$189K
Seymour, TN	$327K
Seymour, WI	$315K
Shabbona, IL	
Shackelford, CA	
Shackle Island, TN	$747K
Shadeland, IN	$495K
Shadow Lake, WA	
Shady Cove, OR	$320K
Shady Dale, GA	
Shady Grove, OK	$220K
Shady Hills, FL	$286K
Shady Hollow, TX	$709K
Shady Shores, TX	$498K
Shady Side, MD	$333K
Shadybrook, TX	
Shadyside, OH	$164K
Shafer, MN	$245K
Shaft, MD	
Shafter, CA	$398K
Shaftsburg, MI	
Shaker Church, WA	
Shaker Heights, OH	$325K
Shakopee, MN	$365K
Shalimar, FL	$350K
Shallotte, NC	$328K
Shallowater, TX	$329K
Shamokin Dam, PA	
Shamokin, PA	$48K
Shamrock, OK	
Shandaken, NY	$153K
Shandon, CA	$355K
Shaniko, OR	
Shanksville, PA	
Shannon Hills, AR	$195K
Shannon, GA	$120K
Shannondale, WV	$326K
Shanor-Northvue, PA	$345K
Shark River Hills, NJ	$592K
Sharon Center, OH	
Sharon Hill, PA	$147K
Sharon Springs, NY	$146K
Sharon, CT	
Sharon, MA	$863K
Sharon, NY	$298K
Sharon, PA	$53K
Sharon, SC	$165K
Sharon, TN	
Sharon, WI	$175K
Sharonville, OH	$274K
Sharpes, FL	$473K
Sharpsburg, GA	$438K
Sharpsburg, KY	$193K
Sharpsburg, MD	$350K
Sharpsburg, NC	$130K
Sharpsburg, PA	$208K
Sharpsville, PA	$154K
Shartlesville, PA	
Shasta Lake, CA	$298K
Shasta, CA	
Shattuck, OK	
Shavano Park, TX	$1,240K
Shaver Lake, CA	$450K
Shavertown, PA	$333K
Shaw Heights, CO	$515K
Shaw, MS	
Shawangunk, NY	$540K
Shawano, WI	$180K
Shawnee Hills, OH	$509K
Shawnee, KS	$378K
Shawnee, OH	
Shawnee, OK	$147K
Shawneeland, VA	$189K
Shawneetown, MO	
Shawsville, VA	
Sheakleyville, PA	
Sheatown, PA	
Sheboygan Falls, WI	$307K
Sheboygan, WI	$200K
Shedd, OR	
Sheffield Lake, OH	$177K
Sheffield, AL	$154K
Sheffield, IL	
Sheffield, MA	
Sheffield, OH	$325K
Sheffield, PA	
Shelburn, IN	$100K
Shelburne Falls, MA	$471K
Shelburne, MA	$471K
Shelburne, VT	$599K
Shelby, AL	
Shelby, IN	$197K
Shelby, MS	
Shelby, NC	$230K
Shelby, NY	$169K
Shelby, OH	$111K
Shelbyville, IN	$206K
Shelbyville, KY	$310K
Shelbyville, TN	$287K
Sheldahl, IA	
Sheldon, SC	
Sheldon, TX	
Shell Point, SC	$383K
Shell Ridge, CA	
Shelley, ID	$335K
Shellsburg, IA	$161K
Shelltown, PA	
Shellytown, PA	
Shelocta, PA	
Shelter Cove, CA	$425K
Shelter Island Heights, NY	$1,605K
Shelter Island, NY	$1,100K
Shelton, CT	$485K
Shelton, NE	
Shelton, WA	$364K
Shenandoah Farms, VA	$405K
Shenandoah Heights, PA	$100K
Shenandoah Junction, WV	
Shenandoah Retreat, VA	$386K
Shenandoah Shores, VA	$305K
Shenandoah, LA	$285K
Shenandoah, PA	$79K
Shenandoah, TX	$604K
Shenorock, NY	$549K
Shepardsville, IN	
Shepherd, MI	$178K
Shepherd, MT	$1,000K
Shepherdstown, WV	$350K
Shepherdsville, KY	$241K
Sheppards Mill, NJ	
Sheppton, PA	$375K
Sherando, VA	
Sherborn, MA	$912K
Sherburn, MN	$119K
Sheridan, AR	$296K
Sheridan, CA	
Sheridan, CO	$458K
Sheridan, IL	$210K
Sheridan, IN	$240K
Sheridan, MI	$390K
Sheridan, NY	
Sheridan, OR	$260K
Sherman, CT	
Sherman, IL	$320K
Sherman, MS	
Sherman, NY	$162K
Sherman, SD	
Sherman, TX	$304K
Sherrard, IL	
Sherrelwood, CO	$444K
Sherrill, AR	
Sherrill, IA	
Sherrill, NY	$180K
Sherrodsville, OH	$62K
Sherwood Forest, MD	
Sherwood Manor, CT	$257K
Sherwood Shores, TX	$120K
Sherwood, AR	$250K
Sherwood, MI	$200K
Sherwood, OH	$218K
Sherwood, OR	$633K
Sherwood, WI	$415K
Shickshinny, PA	$103K
Shidler, OK	$80K
Shields, MI	$176K
Shillington, PA	$219K
Shiloh, AL	$189K
Shiloh, IL	$390K
Shiloh, NJ	
Shiloh, OH	
Shiloh, PA	$204K
Shindler, SD	
Shingle Springs, CA	$815K
Shingletown, CA	
Shinnecock Hills, NY	$1,180K
Shiocton, WI	
Ship Bottom, NJ	$900K
Shipman, IL	$247K
Shipman, VA	$294K
Shippensburg University, PA	
Shippensburg, PA	$215K
Shippingport, PA	
Shiremanstown, PA	$197K
Shirley, IL	
Shirley, IN	$95K
Shirley, MA	
Shirley, Ma, MA	$488K
Shirley, NY	$410K
Shively, KY	$190K
Shoal Creek Drive, MO	
Shoal Creek Estates, MO	
Shoal Creek, AL	
Shoemakersville, PA	$221K
Shokan, NY	
Shongaloo, LA	
Shopiere, WI	
Shoreacres, TX	
Shoreham, MI	
Shoreham, NY	$785K
Shorehaven, NY	$245K
Shoreline, WA	$799K
Shoreview, MN	$251K
Shorewood Forest, IN	$513K
Shorewood Hills, WI	
Shorewood-Tower Hills-Harbert, MI	$498K
Shorewood, IL	$332K
Shorewood, MN	$915K
Shorewood, WI	$425K
Short Hills, NJ	$1,800K
Short Pump, VA	$548K
Short, OK	$250K
Shortsville, NY	$142K
Show Low, AZ	$494K
Shreve, OH	$100K
Shreveport, LA	$182K
Shrewsbury, MA	$540K
Shrewsbury, MO	$230K
Shrewsbury, NJ	$685K
Shrewsbury, PA	$363K
Shrub Oak, NY	$572K
Shubuta, MS	
Shueyville, IA	$550K
Shumway, AZ	
Shumway, IL	
Shutesbury, MA	
Sibley, LA	$93K
Sibley, MO	
Sicklerville, NJ	$304K
Sickles Corner, PA	
Sidell, IL	
Sidman, PA	
Sidney, AR	
Sidney, IL	$95K
Sidney, IN	$45K
Sidney, OH	$170K
Siena College, NY	
Sienna Plantation, TX	$520K
Sienna, TX	$520K
Sierra Blanca, TX	
Sierra Madre, CA	$2,100K
Sierra Ridge, CO	$695K
Sierra View, PA	$318K
Sierra Village, CA	$340K
Sierra Vista Southeast, AZ	$446K
Sierra Vista, AZ	$284K
Siesta Acres, TX	
Siesta Key, FL	$881K
Siesta Shores, TX	
Siglerville, PA	
Signal Hill, CA	$628K
Sikeston, MO	$137K
Siler City, NC	$210K
Silesia, MT	
Siletz, OR	
Silex, MO	$557K
Silkworth, PA	
Silo, OK	
Siloam Springs, AR	$249K
Silsbee, TX	$204K
Silt, CO	$650K
Silvana, WA	
Silver City, IA	
Silver City, NC	$86K
Silver City, NM	$229K
Silver City, NV	
Silver Creek, MN	
Silver Creek, MO	$257K
Silver Creek, NY	$143K
Silver Firs, WA	$780K
Silver Grove, KY	$150K
Silver Hill, MD	$208K
Silver Lake, FL	$275K
Silver Lake, IN	
Silver Lake, KS	
Silver Lake, MA	
Silver Lake, MN	
Silver Lake, NC	$489K
Silver Lake, NJ	$378K
