County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Todd County,3768,Elkton,Kentucky,741,$33231,9%,39,N/A,N/A,N/A,48,53%,$672,62%,25,1054,27%,11%,54%,21%,75%,0%,25%,67%,4%,1%,N/A,88,43,45,54,9,6,70,4,36.747411226990444,-87.17620155883758,60%,74%,49%,58%,56%,42,45,65,69,25,13.39,12.95,30%,28%,32%,5
Van Buren County,3762,Keosauqua,Iowa,707,$42262,11%,43,N/A,N/A,N/A,65,77%,$632,46%,N/A,N/A,17%,5%,58%,23%,71%,0%,0%,95%,2%,1%,N/A,86,32,53,41,23,N/A,81,3,40.73320554532164,-91.92485297690058,53%,63%,46%,59%,57%,46,39,61,65,14,14.49,5.54,29%,31%,26%,12
Glades County,3757,Moore Haven,Florida,1720,$35543,6%,47,N/A,N/A,N/A,33,67%,$857,58%,N/A,N/A,21%,17%,43%,29%,68%,0%,33%,50%,14%,5%,N/A,92,74,18,50,0,7,73,6,26.949660545381956,-81.01647776390737,70%,73%,67%,57%,62%,76,65,73,75,52,25.81,5.96,28%,50%,18%,0
Ripley County,3756,Doniphan,Missouri,1443,$30444,12%,42,$43000,1000,$43,47,67%,$574,53%,N/A,N/A,30%,8%,54%,15%,81%,0%,0%,92%,1%,0%,N/A,90,45,44,55,6,7,64,5,36.61796676786474,-90.74990036171458,63%,74%,52%,56%,56%,53,50,68,67,23,12.34,12.08,29%,27%,30%,1
Calhoun County,3755,Blountstown,Florida,940,$32761,11%,37,N/A,N/A,N/A,46,68%,$508,58%,210,1268,21%,3%,48%,20%,76%,0%,13%,76%,5%,2%,N/A,89,63,26,59,0,5,53,5,30.459637446311582,-85.05583690434088,60%,60%,52%,54%,59%,82,57,71,70,41,20.46,15.75,30%,40%,33%,0
Hamlin County,3748,Estelline,South Dakota,802,$55360,20%,37,N/A,N/A,N/A,55,77%,$605,37%,N/A,N/A,12%,2%,57%,20%,74%,0%,0%,93%,5%,3%,N/A,83,22,61,25,44,N/A,92,3,44.63004789631804,-97.17395406237995,63%,73%,58%,60%,55%,38,34,58,59,4,11.0,2.02,25%,31%,19%,24
Prince of Wales-Hyder County,3745,Metlakatla,Alaska,695,$45816,14%,N/A,N/A,N/A,N/A,32,57%,N/A,54%,N/A,N/A,12%,9%,N/A%,47%,39%,2%,1%,N/A%,5%,2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,1,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Lewis County,3744,Hohenwald,Tennessee,710,$32917,9%,41,N/A,N/A,N/A,51,62%,$558,67%,597,3396,21%,6%,48%,19%,77%,6%,1%,86%,1%,6%,N/A,87,47,40,59,3,7,70,4,35.5515024,-87.5539153,64%,77%,54%,57%,57%,56,49,67,67,28,14.79,16.03,33%,31%,39%,3
Greenwood County,3727,Eureka,Kansas,992,$35776,14%,43,N/A,N/A,N/A,69,70%,$547,52%,N/A,N/A,18%,3%,57%,17%,76%,0%,0%,89%,4%,0%,N/A,90,43,47,39,12,8,64,4,37.884890805500405,-96.23007428121812,62%,71%,57%,55%,52%,54,43,62,67,19,13.28,4.1,21%,24%,16%,5
Washington County,3721,Potosi,Missouri,1156,$33367,12%,39,N/A,N/A,N/A,57,59%,$584,53%,N/A,N/A,26%,7%,50%,20%,75%,0%,0%,94%,1%,0%,N/A,86,41,45,47,11,6,66,4,37.91116273955926,-90.7537497714593,57%,67%,49%,58%,55%,46,44,65,67,22,12.11,8.97,32%,32%,28%,6
Norton County,3694,Norton,Kansas,1245,$47372,21%,39,N/A,N/A,N/A,63,76%,$605,47%,217,1525,9%,3%,63%,12%,82%,0%,0%,92%,4%,1%,N/A,92,40,52,24,19,N/A,89,4,39.816898795939366,-99.88290416077425,68%,79%,61%,49%,42%,45,35,55,64,15,9.96,2.27,17%,24%,9%,5
Atchison County,3693,Tarkio,Missouri,897,$49499,22%,46,N/A,N/A,N/A,62,68%,$542,41%,N/A,N/A,13%,3%,60%,19%,75%,0%,0%,94%,2%,0%,N/A,86,35,51,36,30,8,82,4,40.4161726907934,-95.43825418992688,61%,73%,53%,59%,57%,45,40,62,66,13,14.42,3.52,23%,29%,15%,16
Powell County,3689,Stanton,Kentucky,1128,$25422,9%,36,N/A,N/A,N/A,40,44%,$692,56%,54,2229,30%,8%,45%,25%,70%,1%,0%,94%,0%,0%,N/A,85,42,43,55,11,4,74,4,37.85072132089997,-83.87537330403904,55%,65%,46%,58%,62%,42,44,64,65,23,15.29,12.36,40%,39%,44%,9
Martin County,3675,Loogootee,Indiana,1472,$42987,13%,49,N/A,N/A,N/A,55,72%,$530,56%,N/A,N/A,22%,2%,52%,18%,76%,0%,0%,95%,0%,0%,N/A,88,40,47,53,16,6,73,4,38.69481655406803,-86.88868489042176,58%,72%,46%,58%,56%,42,45,65,66,23,13.26,11.08,30%,28%,32%,8
Iron County,3673,Ironton,Missouri,1046,$33827,13%,42,N/A,N/A,N/A,53,63%,$565,46%,0,591,29%,9%,49%,21%,74%,0%,0%,93%,3%,0%,N/A,88,42,45,48,11,6,70,4,37.55489051380343,-90.63979436920773,57%,67%,49%,58%,55%,46,44,65,65,21,12.51,9.38,29%,28%,27%,6
Irwin County,3668,Ocilla,Georgia,1438,$25291,15%,40,N/A,N/A,N/A,43,51%,$580,64%,N/A,N/A,33%,13%,53%,24%,74%,0%,64%,27%,7%,3%,N/A,92,60,32,49,0,5,56,5,31.5986417,-83.2497829,63%,67%,56%,52%,54%,53,53,69,71,37,15.05,13.98,26%,38%,26%,0
Washington County,3665,Leroy,Alabama,86,$69201,17%,43,N/A,N/A,N/A,33,89%,$498,45%,N/A,N/A,18%,3%,44%,27%,70%,0%,30%,60%,3%,0%,N/A,91,59,32,63,0,7,56,5,31.42323896875853,-88.15030145443383,60%,60%,52%,56%,58%,71,55,70,70,34,18.22,17.78,27%,34%,31%,0
Ashe County,3654,West Jefferson,North Carolina,779,$32220,12%,45,N/A,N/A,N/A,46,50%,$579,51%,152,5339,23%,8%,56%,26%,70%,1%,4%,84%,5%,5%,N/A,81,43,38,54,24,6,85,4,36.413698890558294,-81.48209248634375,59%,59%,57%,55%,59%,40,45,63,58,22,14.78,11.92,28%,34%,27%,12
Boundary County,3652,Bonners Ferry,Idaho,994,$42205,17%,39,N/A,N/A,N/A,40,67%,$647,46%,38,1841,21%,5%,48%,18%,73%,0%,0%,89%,5%,4%,N/A,85,33,52,28,74,7,86,3,48.70164279323658,-116.28424486793539,52%,73%,28%,52%,32%,13,33,43,54,24,3.87,10.27,32%,16%,42%,35
Fannin County,3652,McCaysville,Georgia,646,$40095,14%,46,N/A,N/A,N/A,50,67%,$593,49%,N/A,N/A,21%,3%,48%,16%,81%,0%,0%,86%,7%,3%,N/A,85,50,35,64,2,5,74,4,34.92708028943045,-84.33717827877875,55%,60%,46%,55%,56%,55,48,67,62,25,15.79,18.29,40%,44%,45%,0
West Carroll County,3647,Oak Grove,Louisiana,766,$32460,11%,47,N/A,N/A,N/A,46,68%,$650,50%,0,0,21%,4%,42%,15%,83%,0%,28%,67%,2%,1%,N/A,91,54,36,59,0,6,66,5,32.790398188346586,-91.41402222177132,59%,66%,50%,57%,57%,66,54,70,73,36,13.18,16.88,26%,24%,31%,0
Rains County,3641,Emory,Texas,645,$45632,10%,35,N/A,N/A,N/A,43,63%,$733,51%,N/A,N/A,17%,3%,61%,13%,84%,1%,4%,79%,11%,3%,N/A,95,55,40,46,0,7,62,5,32.89439027055754,-95.83489605556166,61%,71%,56%,54%,50%,45,51,67,73,33,9.26,10.41,23%,19%,25%,0
Morgan County,3640,West Liberty,Kentucky,669,$39359,15%,38,N/A,N/A,N/A,36,68%,$479,64%,56,84,18%,3%,23%,21%,76%,2%,11%,81%,0%,2%,N/A,85,43,42,53,16,4,73,4,37.914622077527476,-83.2777780560989,55%,65%,46%,58%,62%,42,44,64,64,23,15.25,11.88,44%,41%,52%,10
Screven County,3630,Sylvania,Georgia,416,$35683,14%,49,N/A,N/A,N/A,49,66%,$530,56%,N/A,N/A,17%,3%,47%,40%,57%,0%,43%,51%,2%,1%,N/A,92,58,33,48,0,6,61,5,32.71742634636363,-81.6294724869146,59%,59%,55%,54%,57%,60,55,70,71,36,16.01,11.67,24%,31%,26%,0
Phillips County,3627,Holyoke,Colorado,1068,$45239,21%,36,N/A,N/A,N/A,55,74%,$692,38%,0,272,8%,0%,58%,18%,76%,0%,0%,63%,35%,22%,N/A,89,41,48,18,32,8,90,4,40.600164243782736,-102.3693546322305,64%,67%,60%,48%,40%,45,34,54,59,12,7.55,1.31,23%,30%,14%,21
Daviess County,3614,Gallatin,Missouri,624,$38623,16%,42,N/A,N/A,N/A,50,73%,$643,48%,N/A,N/A,21%,4%,50%,19%,74%,0%,1%,94%,1%,0%,N/A,87,35,51,40,13,8,80,4,39.9426082654953,-93.97703647197011,62%,70%,55%,60%,59%,51,42,64,66,16,14.77,4.31,24%,28%,17%,6
Crane County,3610,Crane,Texas,3438,$73152,16%,31,N/A,N/A,N/A,53,86%,$854,35%,161,348,3%,1%,66%,21%,75%,2%,0%,28%,67%,17%,N/A,96,60,36,13,4,N/A,71,5,31.3917826,-102.3502694,N/A%,N/A%,N/A%,48%,45%,37,42,58,71,31,4.54,1.95,11%,12%,9%,0
Webster County,3609,Eupora,Mississippi,550,$48395,22%,40,N/A,N/A,N/A,44,67%,$537,48%,N/A,N/A,24%,17%,47%,20%,78%,0%,35%,62%,0%,0%,N/A,90,53,37,60,0,6,55,5,33.5641871511499,-89.22658671961761,59%,66%,50%,57%,56%,58,53,69,68,30,13.58,17.27,31%,33%,36%,0
Shelby County,3606,Shelbina,Missouri,748,$36998,16%,44,N/A,N/A,N/A,58,75%,$582,50%,N/A,N/A,21%,3%,56%,18%,77%,0%,2%,94%,2%,0%,N/A,86,36,50,43,16,N/A,79,4,39.73082850013866,-92.09845972806433,57%,68%,48%,60%,59%,52,43,64,65,17,15.29,5.8,28%,29%,23%,6
Rockbridge County,3601,East Lexington,Virginia,792,$37203,16%,37,N/A,N/A,N/A,47,56%,$819,56%,0,180,19%,4%,55%,32%,61%,0%,13%,79%,4%,2%,N/A,87,45,42,46,15,5,76,4,37.75829266678701,-79.4373117751458,59%,64%,54%,52%,56%,33,43,62,64,23,12.15,10.32,35%,39%,33%,4
Boise County,3600,Robie Creek,Idaho,426,$60960,31%,48,$654289,1950,$358,36,76%,$747,37%,N/A,N/A,9%,1%,58%,20%,70%,1%,0%,88%,6%,5%,Mountain Standard Time,90,36,54,34,18,7,91,4,43.8343070885,-116.01432204527777,63%,81%,38%,42%,23%,14,33,42,57,21,2.59,14.2,32%,11%,45%,14
Pendleton County,3599,Falmouth,Kentucky,2451,$32627,10%,37,$122600,1633,$81,61,44%,$723,53%,191,1292,34%,5%,56%,19%,76%,0%,2%,95%,0%,0%,Eastern Standard Time,87,41,46,45,23,8,76,3,38.694287728535706,-84.3393073337038,53%,66%,41%,59%,56%,38,41,61,66,24,12.24,9.68,35%,35%,35%,19
Sullivan County,3598,Milan,Missouri,1103,$38744,11%,40,N/A,N/A,N/A,59,58%,$634,54%,N/A,N/A,20%,2%,55%,21%,75%,0%,4%,62%,29%,15%,N/A,86,33,52,41,30,8,81,3,40.22830751209005,-93.10845429913842,57%,68%,48%,60%,58%,51,41,63,64,13,13.97,4.75,23%,26%,17%,11
Wayne County,3596,Corydon,Iowa,782,$43306,14%,43,N/A,N/A,N/A,68,74%,$555,48%,N/A,N/A,18%,2%,58%,24%,70%,0%,0%,92%,2%,0%,N/A,85,32,53,42,30,N/A,82,3,40.742073957703006,-93.33127242614016,58%,71%,49%,60%,58%,48,39,61,64,12,15.55,4.55,27%,30%,21%,11
Dallas County,3596,Buffalo,Missouri,986,$23341,7%,33,$125000,1389,$90,47,37%,$528,55%,N/A,N/A,38%,3%,41%,17%,79%,1%,0%,89%,4%,0%,Central Standard Time,89,43,46,46,11,N/A,68,4,37.67053181484983,-93.10629195414349,58%,69%,50%,58%,57%,54,44,64,66,20,12.71,7.2,26%,26%,22%,7
Aitkin County,3589,Aitkin,Minnesota,637,$34354,18%,43,N/A,N/A,N/A,52,61%,$594,55%,170,3076,20%,6%,52%,34%,59%,0%,0%,93%,0%,0%,N/A,80,19,61,32,55,7,82,3,46.62655441387574,-93.6208672191418,50%,60%,45%,63%,61%,33,29,52,58,0,12.97,3.36,30%,37%,23%,29
Wheeler County,3585,Shamrock,Texas,965,$43379,12%,38,N/A,N/A,N/A,57,62%,$808,47%,N/A,N/A,21%,5%,66%,8%,90%,0%,3%,60%,32%,9%,N/A,95,51,44,24,14,N/A,71,5,35.31936024131102,-100.26254389082287,72%,78%,67%,44%,44%,48,38,57,68,24,8.91,2.6,17%,22%,12%,4
Washington County,3566,Springfield,Kentucky,691,$42728,23%,32,N/A,N/A,N/A,47,54%,$633,60%,202,1045,23%,4%,61%,25%,71%,0%,16%,77%,2%,2%,N/A,87,43,43,53,14,7,75,4,37.70686393224902,-85.19937027019068,55%,65%,46%,56%,55%,45,45,65,66,25,13.19,12.83,36%,34%,40%,11
Pope County,3565,Glenwood,Minnesota,527,$50389,24%,41,N/A,N/A,N/A,59,73%,$640,49%,115,1349,13%,1%,65%,33%,60%,0%,0%,96%,2%,1%,N/A,83,22,61,26,42,N/A,87,2,45.65788069138849,-95.43604602030857,56%,70%,48%,62%,55%,31,31,56,59,2,11.84,1.49,24%,29%,19%,32
Lunenburg County,3560,Victoria,Virginia,651,$35885,13%,39,N/A,N/A,N/A,57,53%,$763,54%,126,253,23%,5%,46%,39%,57%,0%,38%,57%,0%,0%,N/A,88,48,40,47,10,7,70,4,36.98207025755618,-78.1983909558146,62%,67%,56%,53%,55%,34,46,66,67,26,12.82,10.07,27%,28%,28%,2
Jasper County,3557,Newton,Illinois,1169,$41488,14%,41,N/A,N/A,N/A,52,68%,$629,51%,N/A,N/A,21%,5%,60%,18%,77%,0%,0%,97%,0%,1%,N/A,86,38,48,50,14,6,67,4,39.00025293036266,-88.15593032035422,58%,72%,46%,58%,56%,42,45,65,67,22,14.01,9.77,30%,29%,32%,10
Crosby County,3553,Crosbyton,Texas,1070,$39190,12%,40,$200000,2381,$84,58,72%,$632,52%,N/A,N/A,18%,5%,59%,27%,68%,0%,6%,32%,62%,5%,Central Standard Time,93,54,39,21,4,N/A,80,5,33.6596846820152,-101.30977105918942,72%,80%,66%,45%,46%,48,41,59,67,28,7.37,2.42,15%,20%,9%,1
Hot Springs County,3550,Thermopolis,Wyoming,993,$58489,25%,45,N/A,N/A,N/A,56,74%,$720,42%,459,1201,16%,2%,62%,15%,75%,0%,0%,91%,2%,0%,N/A,91,34,57,11,19,6,87,3,43.66019235264789,-108.20847882414084,67%,74%,63%,43%,28%,33,25,40,57,9,2.13,1.33,15%,15%,12%,11
Arenac County,3550,Standish,Michigan,535,$30245,9%,37,N/A,N/A,N/A,50,54%,$789,57%,0,0,19%,7%,54%,30%,64%,0%,1%,91%,2%,1%,N/A,81,29,52,33,52,8,87,3,44.00676607098591,-83.87536825123944,48%,63%,35%,62%,55%,31,35,55,59,15,9.96,5.63,37%,36%,38%,31
Stanton County,3541,Stanton,Nebraska,989,$59098,22%,37,N/A,N/A,N/A,50,80%,$667,46%,N/A,N/A,6%,3%,71%,14%,78%,0%,1%,87%,9%,4%,N/A,86,32,54,27,29,N/A,86,3,41.99473933634567,-97.25576628974866,60%,71%,54%,56%,54%,47,37,60,63,12,11.08,2.37,23%,28%,18%,13
Waseca County,3541,Janesville,Minnesota,1664,$55741,22%,35,N/A,N/A,N/A,50,85%,$726,48%,221,1636,11%,5%,70%,29%,61%,0%,1%,93%,2%,0%,N/A,82,22,60,38,53,8,84,3,44.05355364120305,-93.64638500211805,N/A%,N/A%,N/A%,64%,60%,40,35,58,62,6,15.19,4.24,34%,38%,30%,32
Decatur County,3532,Parsons,Tennessee,620,$31060,9%,44,N/A,N/A,N/A,44,68%,$577,56%,158,1200,25%,15%,48%,19%,78%,0%,8%,85%,3%,0%,N/A,90,50,40,58,3,6,65,4,35.63263502429219,-88.12210610283125,64%,77%,54%,57%,56%,56,49,67,69,28,13.63,15.6,32%,29%,37%,0
Moultrie County,3526,Bethany,Illinois,1514,$49038,13%,41,N/A,N/A,N/A,62,74%,$680,41%,79,953,13%,3%,64%,23%,70%,0%,0%,93%,3%,0%,N/A,85,35,50,41,15,6,82,4,39.668036886557005,-88.69714057799206,54%,65%,46%,61%,58%,47,40,62,65,19,12.03,7.36,32%,32%,27%,9
Spencer County,3519,Elk Creek,Kentucky,1039,$80531,21%,37,$363886,1696,$196,33,68%,$634,44%,0,855,9%,6%,63%,20%,75%,2%,3%,85%,4%,3%,Eastern Standard Time,90,44,46,55,14,7,71,4,38.08021501210572,-85.34837848132993,55%,65%,46%,56%,55%,45,45,65,64,22,14.43,12.62,36%,34%,40%,12
St. Clair County,3511,Osceola,Missouri,955,$33192,11%,44,N/A,N/A,N/A,53,65%,$461,48%,187,1217,20%,6%,43%,20%,75%,0%,1%,90%,4%,1%,N/A,89,43,46,46,17,8,71,4,38.09748731686129,-93.80612818689832,59%,69%,51%,58%,57%,53,43,64,69,22,13.77,5.99,32%,32%,26%,7
Bacon County,3498,Alma,Georgia,547,$30302,7%,31,N/A,N/A,N/A,44,50%,$509,62%,290,3228,31%,7%,35%,15%,83%,0%,49%,41%,6%,4%,N/A,94,63,31,41,0,6,58,5,31.543250881160667,-82.47297023736421,59%,59%,55%,54%,57%,60,55,70,72,39,14.25,9.67,26%,37%,25%,0
Lee County,3497,Leesburg,Georgia,560,$56469,20%,34,$190000,1570,$121,26,63%,$881,52%,N/A,N/A,22%,8%,65%,22%,75%,1%,32%,62%,1%,3%,Eastern Standard Time,92,60,32,51,0,6,47,3,31.75468769971404,-84.18022229756933,63%,67%,56%,53%,54%,53,53,69,72,37,15.79,15.31,28%,37%,30%,0
Hanson County,3485,Alexandria,South Dakota,517,$65131,21%,37,$215000,1361,$158,62,82%,$707,39%,N/A,N/A,5%,3%,69%,21%,74%,0%,0%,99%,0%,0%,N/A,86,26,59,26,36,N/A,91,3,43.66453404094692,-97.77229985667145,60%,69%,57%,60%,55%,40,34,58,61,7,10.73,2.05,21%,27%,15%,19
Johnson County,3480,Vienna,Illinois,436,$41851,19%,47,$135000,2455,$55,47,74%,$665,52%,N/A,N/A,19%,4%,47%,18%,76%,0%,0%,96%,0%,0%,N/A,88,43,45,53,9,6,74,4,37.46332177931035,-88.92808738439655,64%,77%,54%,58%,57%,42,45,65,68,24,13.23,12.46,33%,32%,33%,4
Atkinson County,3479,Pearson,Georgia,509,$29405,5%,35,N/A,N/A,N/A,39,63%,$495,51%,N/A,N/A,25%,6%,58%,26%,72%,0%,28%,36%,35%,18%,N/A,93,62,31,54,0,6,55,5,31.31335216866916,-82.93429397766599,64%,65%,59%,55%,59%,74,58,71,71,38,19.31,13.15,26%,37%,26%,0
Pushmataha County,3475,Antlers,Oklahoma,608,$24737,12%,37,N/A,N/A,N/A,44,57%,$438,53%,0,1041,30%,10%,49%,16%,79%,0%,1%,67%,3%,1%,N/A,93,52,40,50,2,7,60,5,34.311130026733814,-95.5366448112518,61%,72%,53%,56%,55%,54,48,67,69,27,10.84,10.09,24%,22%,22%,0
Patrick County,3475,Patrick Springs,Virginia,302,$40150,16%,52,N/A,N/A,N/A,46,66%,$570,47%,N/A,N/A,10%,6%,45%,20%,75%,0%,6%,86%,5%,2%,N/A,86,48,38,54,8,6,78,4,36.63707945116547,-80.23034111623022,59%,64%,54%,51%,54%,41,46,65,64,25,16.0,11.73,35%,43%,31%,1
Lee County,3473,Bishopville,South Carolina,1186,$33024,13%,40,N/A,N/A,N/A,48,46%,$711,70%,2938,6627,24%,9%,53%,63%,34%,0%,71%,26%,1%,0%,N/A,91,57,34,48,1,6,62,4,34.20045942136482,-80.227000471408,64%,67%,57%,50%,52%,50,51,68,70,33,15.0,11.06,30%,35%,33%,0
Ouachita County,3466,East Camden,Arkansas,969,$29079,7%,37,N/A,N/A,N/A,53,63%,$521,55%,116,814,27%,3%,50%,43%,53%,0%,43%,49%,6%,2%,N/A,92,53,38,56,2,7,53,4,33.57546002784189,-92.80957497123485,64%,76%,53%,57%,56%,55,51,68,70,30,11.82,14.82,26%,22%,30%,0
Brule County,3465,Chamberlain,South Dakota,507,$45898,27%,N/A,N/A,N/A,N/A,53,53%,N/A,49%,564,2770,7%,2%,N/A%,25%,68%,N/A%,N/A%,N/A%,3%,1%,N/A,88,31,57,24,40,N/A,89,3,43.78896681021645,-99.23235963578644,63%,73%,58%,60%,55%,38,34,58,63,10,9.93,2.28,23%,28%,17%,18
Bullock County,3465,Union Springs,Alabama,523,$21422,8%,30,N/A,N/A,N/A,43,37%,$567,64%,N/A,N/A,57%,4%,51%,74%,24%,2%,77%,5%,13%,3%,N/A,90,59,31,58,0,5,48,5,32.1395269,-85.7141474,58%,62%,50%,55%,56%,57,53,69,69,34,16.06,16.63,24%,30%,28%,0
San Saba County,3464,San Saba,Texas,1077,$30711,9%,35,N/A,N/A,N/A,54,68%,$845,51%,N/A,N/A,19%,2%,43%,12%,85%,0%,2%,49%,41%,10%,N/A,97,60,37,28,0,6,73,5,31.204501103060046,-98.74121123227482,59%,69%,53%,54%,50%,40,54,67,72,33,6.28,4.53,12%,10%,10%,0
Edwards County,3464,Albion,Illinois,864,$45870,13%,39,N/A,N/A,N/A,61,69%,$581,52%,N/A,N/A,16%,12%,58%,13%,83%,0%,0%,95%,2%,0%,N/A,89,40,48,49,11,6,74,4,38.41572182852194,-88.03810917540416,58%,72%,46%,58%,56%,42,45,65,67,23,12.85,9.93,31%,29%,31%,7
Morgan County,3463,McConnelsville,Ohio,1397,$38089,15%,38,N/A,N/A,N/A,68,58%,$608,58%,N/A,N/A,15%,6%,53%,26%,68%,0%,8%,83%,1%,0%,N/A,85,39,46,44,11,7,70,5,39.63854288920012,-81.85205773751083,45%,54%,35%,58%,55%,43,44,63,64,21,13.1,10.78,39%,37%,43%,3
Crook County,3455,Sundance,Wyoming,530,$58818,21%,36,N/A,N/A,N/A,37,76%,$882,39%,93,374,7%,1%,56%,7%,87%,0%,0%,87%,4%,2%,N/A,85,33,52,19,68,7,90,3,44.394723823820556,-104.61330969681622,62%,70%,56%,52%,44%,39,31,51,55,10,6.92,2.09,27%,28%,27%,35
Toole County,3453,Shelby,Montana,452,$47435,21%,44,N/A,N/A,N/A,62,63%,$572,53%,N/A,N/A,9%,1%,52%,19%,73%,0%,0%,85%,3%,3%,N/A,82,31,51,12,39,5,92,3,48.562710748913986,-111.87197398456414,58%,73%,43%,46%,33%,24,28,43,50,8,4.38,1.48,23%,26%,20%,24
Mackinac County,3450,St. Ignace,Michigan,728,$37818,33%,43,N/A,N/A,N/A,50,46%,$777,62%,427,20085,16%,4%,72%,33%,60%,2%,22%,54%,2%,7%,N/A,77,26,51,35,80,7,89,3,45.979383545739125,-84.67577317988406,48%,61%,38%,65%,61%,29,32,53,55,10,9.54,6.68,42%,34%,52%,58
Polk County,3450,Tryon,North Carolina,528,$43860,40%,58,N/A,N/A,N/A,50,64%,$916,52%,100,4723,21%,2%,49%,34%,61%,0%,6%,82%,7%,5%,N/A,87,50,37,63,7,6,71,5,35.229752656637686,-82.24925741353624,59%,59%,57%,55%,59%,43,46,64,68,32,15.79,16.34,35%,43%,35%,1
Washington County,3449,Washington,Kansas,948,$49310,16%,43,N/A,N/A,N/A,70,81%,$463,44%,N/A,N/A,8%,1%,62%,14%,79%,0%,0%,91%,5%,4%,N/A,91,37,53,33,18,8,81,4,39.77147999892723,-97.06057788106698,68%,79%,61%,57%,54%,56,41,62,67,15,13.08,3.02,22%,29%,14%,7
Tucker County,3446,Parsons,West Virginia,957,$43163,14%,48,N/A,N/A,N/A,56,77%,$615,48%,N/A,N/A,14%,7%,48%,21%,73%,0%,1%,95%,0%,0%,N/A,79,36,43,60,162,4,89,3,39.10776576450957,-79.59433440081254,42%,52%,29%,58%,59%,34,40,59,60,19,17.76,14.79,53%,48%,66%,58
Dickey County,3444,Oakes,North Dakota,1106,$61826,30%,39,N/A,N/A,N/A,52,72%,$614,41%,108,447,3%,1%,73%,23%,69%,0%,0%,93%,4%,3%,N/A,82,23,59,24,43,N/A,92,3,46.07851977267712,-98.28043113835656,56%,70%,48%,61%,55%,31,33,56,59,4,10.46,2.58,21%,29%,14%,16
Clark County,3436,Kahoka,Missouri,1078,$39830,9%,38,$87000,1225,$71,53,73%,$504,57%,N/A,N/A,12%,4%,58%,21%,74%,1%,0%,95%,1%,1%,N/A,86,34,52,41,26,N/A,80,3,40.41823092386496,-91.6820887661525,53%,63%,46%,59%,57%,46,39,62,66,16,14.72,4.95,30%,31%,27%,15
Estill County,3436,Irvine,Kentucky,1972,$32832,14%,43,$178624,1666,$112,60,64%,$561,47%,66,461,25%,10%,42%,20%,76%,0%,0%,92%,4%,3%,N/A,85,43,42,53,11,4,74,4,37.69432823568103,-83.96393643806752,55%,65%,46%,58%,62%,42,44,64,65,23,14.78,12.31,40%,39%,44%,9
Morris County,3429,Council Grove,Kansas,901,$46766,23%,41,N/A,N/A,N/A,62,67%,$641,47%,N/A,N/A,12%,3%,63%,22%,69%,1%,0%,89%,6%,4%,N/A,90,41,49,34,16,8,70,4,38.695982967920685,-96.55155173569554,59%,68%,54%,58%,58%,55,43,65,69,19,12.99,3.43,22%,26%,15%,5
Hamilton County,3429,McLeansboro,Illinois,811,$53481,22%,42,N/A,N/A,N/A,58,71%,$597,50%,N/A,N/A,16%,2%,51%,19%,77%,0%,0%,95%,1%,1%,N/A,87,41,46,49,11,6,76,4,38.10982324473608,-88.56624421090697,58%,72%,46%,58%,56%,42,45,65,66,21,12.4,9.53,29%,28%,29%,5
Humphreys County,3415,Belzoni,Mississippi,1628,$31946,18%,40,N/A,N/A,N/A,46,57%,$648,64%,N/A,N/A,35%,12%,52%,72%,27%,0%,79%,17%,1%,1%,N/A,91,53,37,60,1,6,60,5,33.180452120204976,-90.51634950790628,59%,66%,50%,57%,57%,66,54,70,73,36,13.34,16.98,29%,28%,34%,0
Sharkey County,3415,Rolling Fork,Mississippi,1328,$36354,18%,35,N/A,N/A,N/A,39,61%,$617,57%,N/A,N/A,24%,11%,57%,67%,31%,0%,81%,17%,0%,0%,N/A,91,54,37,59,0,6,58,5,32.90471811057101,-90.87485257654467,59%,66%,50%,57%,57%,66,54,70,73,36,12.72,17.12,26%,24%,31%,0
Davis County,3396,Bloomfield,Iowa,1088,$54546,21%,37,N/A,N/A,N/A,62,77%,$697,46%,148,777,9%,6%,66%,25%,70%,0%,0%,96%,2%,0%,N/A,87,33,54,42,24,N/A,82,3,40.75067492458775,-92.40291601760894,58%,71%,49%,60%,58%,48,39,61,66,15,15.44,4.87,27%,30%,23%,14
